,Network,Five Star,Profit Or Non-Profit,Chain Owned,Late Shift,Number Of Dialysis Stations,Offers In-Center Hemodialysis,Offers Peritoneal Dialysis,Offers Home Hemodialysis Training,Percentage Of Medicare Patients With Hgb < 10 g/dL,Percentage Of Medicare Patients With Hgb > 12 g/dL,Percent Of Adult HD Patients With Kt/V >= 1.2,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5 - 4.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6 - 5.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6 - 7.0 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 mg/dL,Percentage Of Adult Patients With Long Term Catheter In Use,Standardized First Kidney Transplant Waitlist Ratio,Percentage Of Prevalent Patients Waitlisted,State_AL,State_AR,State_AS,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_GU,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MP,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_PR,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VI,State_VT,State_WA,State_WI,State_WV,State_WY,Chain Organization_ATLANTIS HEALTHCARE GROUP,Chain Organization_CENTERS FOR DIALYSIS CARE,Chain Organization_CENTRACARE DIALYSIS,Chain Organization_CENTRAL FLORIDA KIDNEY CENTERS,Chain Organization_DAVITA,"Chain Organization_DIALYSIS ASSOCIATES, LLC","Chain Organization_DIALYSIS CLINIC, INC.",Chain Organization_DIALYSPA,Chain Organization_DIVERSIFIED SPECIALTY INSTITUTES (DSI),Chain Organization_DREILING MEDICAL MANAGEMENT,Chain Organization_FRESENIUS MEDICAL CARE,Chain Organization_FUTURE CARE,Chain Organization_GAMBRO HEALTHCARE,Chain Organization_GREENFIELD HEALTH SYSTEMS,Chain Organization_GUNDERSEN LUTHERAN,"Chain Organization_HEMODIALYSIS, INC.",Chain Organization_INDEPENDENT,Chain Organization_INDEPENDENT DIALYSIS FOUNDATION (IDF),Chain Organization_INNOVATIVE DIALYSIS SYSTEMS,Chain Organization_INTERMOUNTAIN HEALTHCARE,Chain Organization_KAISER PERMANENTE,"Chain Organization_KIDNEY CENTER, INC.",Chain Organization_LIBERTY DIALYSIS HAWAII,Chain Organization_MAYO CLINIC DIALYSIS,Chain Organization_NATIONAL RENAL CARE,Chain Organization_NATIONAL RENAL INSTITUTES,Chain Organization_NORTH CENTRAL PENNSYLVANIA DIALYSIS CLI,Chain Organization_NORTHWEST KIDNEY CENTERS,Chain Organization_NRAA,Chain Organization_OLYMPIC PENINSULA KIDNEY CENTERS,Chain Organization_Other,Chain Organization_PHYSICIANS CHOICE DIALYSIS,Chain Organization_PHYSICIANS DIALYSIS,Chain Organization_PUGET SOUND KIDNEY CENTERS,Chain Organization_PURE LIFE RENAL,"Chain Organization_RED ROCKS DIALYSIS, LLC",Chain Organization_RELIANT RENAL CARE,Chain Organization_RENAL ADVANTAGE,Chain Organization_RENAL CARE GROUP INC.,Chain Organization_RENAL CARE PARTNERS,Chain Organization_RENAL RESEARCH INSTITUTE,Chain Organization_RENAL VENTURES MANAGEMENT,Chain Organization_SANFORD HEALTH,Chain Organization_SANKAR NEPHROLOGY GROUP,Chain Organization_SATELLITE DIALYSIS,Chain Organization_SATELLITE HEALTHCARE,Chain Organization_SCOTT & WHITE MEMORIAL HOSPITAL,Chain Organization_STATE OWNED,Chain Organization_TARRANT DIALYSIS CENTERS,Chain Organization_UNIVERSITY OF MICHIGAN,Chain Organization_UNIVERSITY OF UTAH DIALYSIS PROGRAM,Chain Organization_UPMC HEALTH SYSTEM,"Chain Organization_US RENAL CARE, INC.",Chain Organization_VETERANS ADMINISTRATION,Chain Organization_WAKE FOREST UNIVERSITY,Mortality Rate Standardized,Readmission Rate Standardized,Hospitalization Rate Standardized,Standard Infection Ratio Standardized,Transfusion Rate Standardized,Fistula Rate Standardized
10,5,5,1,1,0,16,1,0,0,12.0,0.0,97.0,1.0,8.0,24.0,37.0,16.0,15.0,7.0,0.9983750912186796,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1803613107470157e-14,0.8337339408913197,1.0067102401438132e-14,-1.6524836372851807e-15,1.1537648655557416e-15,0.9065378714025603
11,5,3,1,1,0,16,1,0,0,19.822157434402328,0.22326223722571736,96.6156920799408,2.101332593003886,8.095079695079695,24.658073458073453,31.062785862785862,21.98655578655579,14.193485793485793,12.543167028199566,0.9983750912186796,18.93018946781831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1803613107470157e-14,-7.756504424596392e-15,1.0067102401438132e-14,-1.6524836372851807e-15,1.1537648655557416e-15,-1.2989711985130185e-14
12,1,3,0,0,1,25,1,1,1,21.0,1.0,96.0,1.0,8.0,24.0,27.0,27.0,13.0,21.0,1.32,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8143259065293417,0.1924007570996924,0.1955520115831315,2.5172898475370844,1.217298935601138,-0.7484094104414807
13,11,2,1,1,0,24,1,0,0,62.0,0.0,97.0,1.0,7.0,21.0,27.0,23.0,23.0,18.0,0.81,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7061338431128392,0.49259926866173065,1.099815715753019,-0.8730114015479005,0.19756528820284885,-1.6336137704975957
14,11,1,1,1,0,18,1,0,0,24.0,0.0,75.0,20.0,6.0,23.0,27.0,29.0,15.0,11.0,0.9983750912186796,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1803613107470157e-14,-0.012280046238061044,0.9873036419622957,-1.6524836372851807e-15,1.1537648655557416e-15,-2.1147030966150493
15,11,3,1,0,0,8,1,0,0,19.822157434402328,0.22326223722571736,84.0,2.0,9.0,22.0,22.0,30.0,17.0,7.0,0.9983750912186796,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5496156435395373,0.820088554002136,1.6957129954594432,2.4015234634219875,1.4056573800250258,0.8391853657461165
16,3,5,1,1,0,10,1,1,0,11.0,0.0,98.0,0.0,7.0,29.0,32.0,23.0,8.0,13.0,0.9983750912186796,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.8492987667875179,-0.7491309382539731,-0.7920539694687734,-0.40994586508751224,-0.9195951407940028,-0.32505080345812154
17,3,1,1,1,0,14,1,0,0,2.0,0.0,93.0,16.0,8.0,23.0,32.0,25.0,12.0,12.0,0.9983750912186796,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752905839804649,0.7518616195562181,0.4768321960599398,-1.6524836372851807e-15,0.16508969433666132,-0.9408451408884622
18,2,3,0,0,1,21,1,0,0,15.0,0.0,99.0,0.0,11.0,26.0,27.0,26.0,10.0,17.0,0.48,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4621834928940964,-0.5308047480270365,-0.04614059137471849,-0.31071753584600037,1.2952403608799878,-0.8542490621873206
19,6,3,1,1,0,10,1,0,0,19.822157434402328,0.22326223722571736,96.6156920799408,2.101332593003886,8.095079695079695,24.658073458073453,31.062785862785862,21.98655578655579,14.193485793485793,12.543167028199566,0.9983750912186796,18.93018946781831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1803613107470157e-14,-7.756504424596392e-15,1.0067102401438132e-14,-1.6524836372851807e-15,1.1537648655557416e-15,-1.2989711985130185e-14
20,9,4,1,1,0,19,1,1,1,7.0,3.0,99.0,2.0,4.0,22.0,31.0,22.0,21.0,14.0,0.76,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5345430244639303,0.3697907866590788,0.4705815252937889,1.012326854040823,-0.7052562212771649,0.30998710701691745
21,9,5,1,1,0,13,1,0,0,20.0,0.0,99.0,1.0,4.0,20.0,50.0,16.0,10.0,5.0,0.9983750912186796,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.674434465496636,-0.5853862955837705,0.4851664237481417,-0.40994586508751224,-1.3547680986009158,0.09830780352523757
22,16,4,1,1,0,14,1,1,1,13.0,0.0,96.0,2.0,4.0,26.0,31.0,23.0,16.0,11.0,0.71,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11486870136581405,-0.33976933157846634,-0.15865266516544194,-1.2368486087667767,0.13261410047047376,1.204813253595381
23,4,3,1,1,0,13,1,0,0,7.0,3.0,97.0,3.0,13.0,20.0,35.0,22.0,10.0,11.0,0.9983750912186796,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4471108738184894,0.08323766198622379,-0.12948286825673577,-0.40994586508751224,-0.25709302592377686,0.5697753431203427
24,4,5,1,1,0,13,1,0,0,36.0,0.0,94.0,1.0,8.0,27.0,22.0,26.0,17.0,9.0,0.9983750912186796,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1803613107470157e-14,-7.756504424596392e-15,-2.2463767010599747,0.3342666042238258,1.1537648655557416e-15,0.30998710701691745
25,8,3,1,1,0,21,1,0,0,24.0,0.0,98.0,2.0,11.0,24.0,28.0,24.0,14.0,9.0,0.0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774820300541563,1.5296486722396816,0.728942583628042,-0.24456531635165935,1.152347747868763,-0.5559736799944992
26,8,3,1,1,0,0,0,1,1,39.0,2.0,23.0,6.0,7.0,20.0,23.0,26.0,25.0,20.0,0.9983750912186796,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6154282098254256,0.23333691776724316,0.16221510083032473,-1.6524836372851807e-15,-0.08821993781960148,-1.710588062676388
